1,P120.pdf,A Toolkit for S
1,P121.pdf,GPT4Tools: Reim
1,P122.pdf,Short-Term Fore
1,P123.pdf,Acquiring Cross
0,P124.pdf,Predictive Main
1,P125.pdf,DISCOSENSE: Com
1,P126.pdf,Designing Data 
1,P127.pdf,Examining Machi
1,P128.pdf,End-to-End Neur
0,P129.pdf,Xray Emissions 
1,P130.pdf,Investigating H
1,P131.pdf,Enhancing Disen
0,P132.pdf,Analyzing Ferme
1,P133.pdf,Discontinuous C
0,P134.pdf,Unraveling the 
1,P135.pdf,A Decentralized
0,P070.pdf,Investigating t
1,P071.pdf,The Significanc
1,P072.pdf,Evaluating the 
0,P073.pdf,Exploring Soil 
1,P074.pdf,Agriculture-Vis
1,P075.pdf,Equivariant Ada
1,P076.pdf,Sustainable Urb
0,P077.pdf,Investigating t
1,P078.pdf,Harnessing Astr
1,P079.pdf,OmniPrint: A Co
1,P080.pdf,Usefulness of L
1,P001.pdf,Leveraging Clus
1,P001.pdf,Leveraging Clus
1,P001.pdf,Leveraging Clus
